,no.,date,time,source,destination,protocol,length,tcp_retransmission,seq,win,len,mss,ack,flag,source_port,destination_port
159,160,2020-12-01,22:41:18,172.16.0.8,64.13.134.52,TCP,58,False,0,4096,0,1460,False,[SYN],36051,9102
160,161,2020-12-01,22:41:26,172.16.0.8,64.13.134.52,TCP,58,False,0,4096,0,1460,False,[SYN],36051,1296
161,162,2020-12-01,22:41:30,172.16.0.8,64.13.134.52,TCP,58,False,0,2048,0,1460,False,[SYN],36051,5101
162,163,2020-12-01,22:41:35,172.16.0.8,64.13.134.52,TCP,58,False,0,1024,0,1460,False,[SYN],36051,24
163,164,2020-12-01,22:41:39,172.16.0.8,64.13.134.52,TCP,58,False,0,2048,0,1460,False,[SYN],36051,52848
164,165,2020-12-01,22:41:44,172.16.0.8,64.13.134.52,TCP,58,False,0,3072,0,1460,False,[SYN],36051,15004
165,166,2020-12-01,22:41:48,172.16.0.8,64.13.134.52,TCP,58,False,0,4096,0,1460,False,[SYN],36051,32
166,167,2020-12-01,22:41:53,172.16.0.8,64.13.134.52,TCP,58,False,0,4096,0,1460,False,[SYN],36051,10626
167,168,2020-12-01,22:41:58,172.16.0.8,64.13.134.52,TCP,58,False,0,1024,0,1460,False,[SYN],36051,1024
168,169,2020-12-01,22:42:04,172.16.0.8,64.13.134.52,TCP,58,False,0,1024,0,1460,False,[SYN],36051,5822
169,170,2020-12-01,22:42:09,172.16.0.8,64.13.134.52,TCP,58,False,0,2048,0,1460,False,[SYN],36051,7200
170,171,2020-12-01,22:42:15,172.16.0.8,64.13.134.52,TCP,58,False,0,2048,0,1460,False,[SYN],36051,1187
171,172,2020-12-01,22:42:20,172.16.0.8,64.13.134.52,TCP,58,False,0,4096,0,1460,False,[SYN],36051,3077
172,173,2020-12-01,22:42:26,172.16.0.8,64.13.134.52,TCP,58,False,0,2048,0,1460,False,[SYN],36051,3826
173,174,2020-12-01,22:42:32,172.16.0.8,64.13.134.52,TCP,58,False,0,2048,0,1460,False,[SYN],36051,8291
